id,clust_3,LD1,LD2
1205,1,-0.6431104504830746,-0.45546462532391463
1211,1,0.7064352164236432,0.2952520191847675
1212,1,0.7512438117024962,0.24096058029615253
1213,1,0.5054426837030654,0.1885347576738327
1214,1,0.23943727723788802,0.45460583371875923
1290,1,-2.594651200274813,-0.8727790638599479
1291,1,-2.278388130260315,-1.2137727689982833
1292,1,-1.7513366615060968,-1.7015661500127979
1293,1,-0.9166646123953239,-1.3734953370934952
1294,1,-0.5393091114853538,-0.1900060519111464
1298,1,-0.05606197885019744,-0.027087790475201712
1299,1,0.1946279662665472,0.08570341911398388
1300,1,0.27292466422952877,0.5005714602388202
1301,1,0.6826322329711152,0.3215337324285958
1302,1,0.2044115039856805,0.22009931169881336
1320,1,2.311342997817733,-1.5466113834743993
1321,1,2.8321084075555745,-1.9563176138157377
1322,1,3.0014564964997317,-2.207402769475251
1323,1,1.8469033842426097,-2.5654512260357576
1380,1,-2.596037352177203,-0.8522133288892746
1381,1,-1.4601891778664493,-1.518974363003747
1382,1,-1.2682261105536972,-0.9011549439144824
1383,1,-0.19838431154122735,-0.13160880311145384
1386,1,0.1866198966501871,-0.5481734906629478
1387,1,0.15755943181757587,-0.12381766112769668
1388,1,0.02501358264210369,0.012452009198437086
1389,1,0.18571809841145936,0.11443820274499023
1390,1,0.18592637578241522,0.6130340432934396
1403,1,1.5661288957683077,-0.5085096615058662
1404,1,2.300272875923532,-1.1006796734273614
1406,1,1.4796828886827873,-1.936763136093984
1407,1,1.963993143174728,-1.5038001304650856
1408,1,2.3151545526225363,-2.8633713631231092
1409,1,2.6511631645649554,-1.7472110525518654
1410,2,2.3649537524837863,-2.304082616912163
1411,2,2.6111014712524945,-2.653163274213944
1412,2,2.235693483190962,-2.020041379603019
1469,1,-2.2273084078736543,-1.007883886754125
1470,1,-2.6366001345709225,-1.3730901303739074
1471,1,-1.3724859610646032,-0.358434996967975
1472,1,-0.39283490823070677,0.10797666769584943
1473,1,-0.46669846278436417,-0.18784368072171914
1474,1,-0.6270198867098541,0.011986733788129061
1475,1,-0.4671804803956651,0.05006590064395344
1476,1,-0.21154657714390324,-0.03857740341322305
1477,1,-0.23430544273320086,-0.24539072325938638
1478,1,0.43173793809028693,-0.07021134812645552
1479,1,0.2798240176224761,-0.037753748847357715
1480,1,-0.1492898864160563,0.6873291268165116
1492,1,1.5954864031673957,-0.00830536698091311
1493,1,2.3417972728132908,-0.4807933979827344
1494,1,1.9196170139453037,-1.3040032188701993
1495,1,1.6565014387966313,-1.6570092072299287
1496,2,1.595689684564058,-2.203445674914011
1497,2,1.767656659956513,-2.311645920119785
1498,2,1.9915660950267748,-2.0239769985050167
1499,2,2.5210921762167797,-1.406899436884027
1500,2,2.3946748565346767,-1.7152793767187842
1501,2,2.0821495005623127,-1.1195809004437016
1555,1,-2.8188332876211373,-1.6539820484091372
