id,clust_12,LD1,LD2,LD3,LD4,LD5,LD6
3178,5,1.9465293470738505,-0.13821615268748766,-0.07646548648838632,0.023903069257679377,1.4186047425573662,-0.8506072781503057
3179,5,2.5186727413634316,-0.7861803377797347,1.2411056186193152,-0.43781947739719684,1.9675947382720975,-1.4219611803920333
3180,5,2.742979444306042,-0.3021603615972216,1.6387383577046652,-0.1871331498772656,1.4543920382083415,-1.1640210145383394
3181,5,2.787438660224945,0.20887755249937395,1.3550420029575638,0.33108288079358916,0.7782180144030809,-0.35895175297173487
3182,5,3.1220639676380095,0.10365738173913486,1.459873103556206,1.3773913654701322,0.1686814843708732,-0.6500863796579196
3183,5,2.79469737387964,0.1879549495885101,1.3033264993798517,0.47475893150886883,0.7138396497036613,-0.41298204109405123
3184,5,2.536163209207237,1.1571870429814495,1.7579222255726679,-0.5362122192336399,0.4970157996597224,0.15494601201331654
3185,5,2.196531672140844,0.9646182912031146,1.4643919204868643,0.7361042213945183,-0.11275117805457333,0.2148480109020902
3186,6,2.2601204054595794,2.6642732341123243,1.6742335375719197,-0.10938467162511534,-0.5309152756576022,1.2948569938504533
3192,6,3.5121366202312956,3.186687834126224,0.25509237738344503,1.2716820565874913,-1.8006739367305693,0.7759560866089398
3193,6,4.053238252568401,0.39075043943230847,1.0583048237946233,1.8296542218744405,-0.8977278228276393,-0.5667004645680596
3238,7,-1.8103225949527373,-2.246396008535784,0.5531488868213305,0.059662748119268416,0.46896561147352456,-1.2506866604724243
3239,7,-1.9268443812445002,-2.2152332742304788,1.3282798426218847,0.30550707190779713,0.836334051778377,-1.697303863797671
3240,7,-2.793126368879767,-1.5696677892654909,1.5565766990249905,-0.4710398919316699,0.3861760184415816,-2.3788189810679072
3241,2,-2.554272104127441,-1.5933893197071352,1.372727421744389,0.19807749663487922,-0.16808052510002486,-0.4623134672480661
3242,2,-1.4418787989294823,-2.045909301649073,1.2443723792945172,0.7262019331113393,0.8525606606898088,1.6244119524954541
3243,2,-1.5446692464758849,-2.3521436080149143,0.9476134647888617,0.8922820125960278,0.8174402592378684,1.0382196391951088
3244,2,-1.9023639168008173,-2.2451992272979933,0.9004272628217855,0.6787398304097446,0.7800023086226363,0.13143265726699074
