"id","clust_5","clust_3","clust_pred4_5"
2742,3,2,"4"
2743,3,2,"3"
2744,3,2,"4"
2745,3,2,"4"
2746,3,2,"4"
2747,3,2,"4"
2803,2,1,"2"
2804,2,1,"4"
2805,2,1,"4"
2806,2,1,"4"
2807,2,1,"4"
2808,2,1,"4"
2809,2,1,"4"
2810,2,1,"4"
2811,2,1,"4"
2812,2,1,"4"
2813,2,1,"3"
2814,2,1,"4"
2815,3,2,"4"
2816,3,2,"4"
2817,3,2,"4"
2818,3,2,"4"
2819,3,2,"4"
2820,3,2,"4"
2821,2,1,"2"
2822,2,1,"4"
2823,3,2,"3"
2824,3,2,"3"
2825,3,2,"3"
2826,3,2,"4"
2827,3,2,"3"
2828,3,2,"3"
2829,3,2,"4"
2830,3,2,"4"
2831,3,2,"4"
2832,3,2,"3"
2833,3,2,"3"
2834,3,2,"4"
2835,3,2,"4"
2836,3,2,"4"
2892,2,1,"2"
2893,2,1,"2"
2894,2,1,"4"
2895,2,1,"4"
2896,2,1,"4"
2897,2,1,"4"
2898,2,1,"4"
2899,2,1,"2"
2900,2,1,"4"
2901,2,1,"4"
2902,2,1,"4"
2903,2,1,"4"
2904,3,2,"4"
2905,3,2,"4"
2906,3,2,"4"
2907,3,2,"4"
2908,3,2,"4"
2909,3,2,"4"
2910,3,2,"4"
2911,3,2,"4"
2912,3,2,"4"
2913,3,2,"3"
2914,3,2,"3"
2915,3,2,"4"
2916,3,2,"4"
2917,3,2,"3"
2918,3,2,"3"
2919,3,2,"3"
2920,3,2,"4"
2921,3,2,"4"
2922,3,2,"3"
2923,3,2,"4"
2924,3,2,"5"
2980,2,1,"2"
2981,2,1,"2"
2982,2,1,"2"
2983,2,1,"4"
2984,2,1,"4"
2985,2,1,"2"
2986,2,1,"2"
2987,2,1,"4"
2988,2,1,"4"
2989,2,1,"4"
2990,2,1,"4"
2991,2,1,"4"
2992,3,2,"4"
2993,2,1,"4"
2994,3,2,"4"
2995,3,2,"4"
2996,3,2,"4"
2997,3,2,"3"
2998,3,2,"3"
2999,3,2,"4"
3000,3,2,"4"
3001,3,2,"4"
3002,3,2,"3"
3003,3,2,"3"
3004,3,2,"3"
3005,3,2,"3"
3006,3,2,"4"
3007,3,2,"4"
3008,3,2,"3"
3009,3,2,"3"
3010,3,2,"4"
3011,3,2,"4"
3012,3,2,"4"
3061,2,1,"4"
3062,2,1,"4"
3068,2,1,"3"
3069,2,1,"3"
3070,2,1,"2"
3071,2,1,"2"
3072,2,1,"2"
3073,2,1,"2"
3074,2,1,"2"
3075,2,1,"2"
3076,2,1,"2"
3077,2,1,"2"
3078,2,1,"3"
3079,2,1,"4"
3080,2,1,"4"
3081,3,2,"4"
3082,2,1,"4"
3083,3,2,"4"
3084,3,2,"4"
3085,3,2,"4"
3086,3,2,"3"
3087,3,2,"3"
3088,3,2,"3"
3089,3,2,"4"
3090,3,2,"4"
3091,3,2,"4"
3092,3,2,"4"
3093,3,2,"4"
3094,3,2,"4"
3095,3,2,"3"
3096,3,2,"3"
3097,3,2,"4"
3098,3,2,"4"
3099,3,2,"4"
3103,3,2,"4"
3104,3,2,"3"
3150,2,1,"4"
3151,2,1,"2"
3152,2,1,"2"
3153,2,1,"4"
3154,2,1,"4"
3156,2,1,"4"
3157,2,1,"3"
3158,2,1,"3"
3159,2,1,"2"
3160,2,1,"2"
3161,2,1,"2"
3162,2,1,"2"
3163,2,1,"2"
3164,2,1,"2"
3165,2,1,"2"
3166,2,1,"4"
3167,2,1,"4"
3168,2,1,"4"
3169,2,1,"4"
3170,4,3,"4"
3171,3,2,"4"
3172,4,3,"4"
3173,3,2,"3"
3174,3,2,"3"
3175,3,2,"4"
3176,3,2,"4"
3177,3,2,"4"
3178,3,2,"4"
3179,3,2,"4"
3180,3,2,"4"
3181,3,2,"4"
3182,3,2,"4"
3183,3,2,"4"
3184,3,2,"4"
3185,3,2,"4"
3186,3,2,"4"
3192,3,2,"3"
3193,3,2,"3"
3238,2,1,"4"
