"id","PC1","PC2","PC3","PC4"
671,-0.0750663836436478,-0.254067236201559,-0.19168312331763,0.0873415003790423
672,-0.0747131941818185,-0.322359392315933,-0.195713538810615,0.110877307337553
673,-0.0124224388002486,-0.339360627549042,-0.190040723575506,0.112152165267062
751,-0.129965795519558,-0.354473787707927,-0.135639056580335,0.142762216374899
752,-0.182566916221941,-0.413912366815405,-0.116388166903035,0.173022757567004
753,-0.229149468209889,-0.402047463977809,-0.131274914290255,0.148253884106254
754,-0.210167504542583,-0.316145559989269,-0.109830183032762,0.105794637187418
755,-0.190014677116762,-0.20777104261328,-0.109773761388499,0.0264321234568241
756,-0.138014009814944,-0.206147675699329,-0.165625194574364,-0.0110962491528428
757,-0.0802133676324963,-0.233571817842208,-0.267570259965999,-0.0537962435648876
758,-0.0931080558599642,-0.314781602126761,-0.311017135221176,-0.044398037323316
759,-0.0617711052942812,-0.366688193923015,-0.205137382267696,0.0062138322870368
760,-0.0900380773277182,-0.429196419897368,-0.127370303284141,0.0844855533122609
761,-0.078902773585983,-0.401491194202926,-0.113289276257251,0.146088975929273
762,-0.0191473393577916,-0.449517918330038,-0.172758909713016,0.173121475814917
763,0.0881771334834,-0.370591266843421,-0.257088728822697,0.0984564855601462
841,-0.200264307013045,-0.421472558200744,-0.127515188782566,0.120895223646025
842,-0.231803873530067,-0.420689020079014,-0.131123983381463,0.075353115222813
843,-0.141883007560329,-0.358903859935161,-0.219703081179784,0.000745928554545263
844,-0.0962263893233466,-0.291252985212464,-0.238837116918825,-0.0337570209610369
845,-0.0656336979493149,-0.244063804671418,-0.250365333631361,-0.0568900280778334
846,-0.0678689896498119,-0.359636096302629,-0.327493551887881,-0.0543585664094942
847,-0.0659984619949517,-0.314917580384965,-0.299107868116005,-0.0560868436007992
848,-0.0433345688523575,-0.417684671479127,-0.157547230443298,0.0429464122513265
849,-0.0644310635466169,-0.445220608065068,-0.10069775191578,0.0824380082337178
850,0.0158036802300951,-0.258678716136197,-0.0853438153732958,0.0766713638923821
851,-0.0790476113357057,-0.42427444001772,-0.0847557056292246,0.187420536575932
852,0.132913040056618,-0.411322548739643,-0.251074203733685,0.131023484374558
929,-0.0617392568271536,-0.352378163549444,-0.25308729423307,0.0794737555264019
930,-0.183208476104323,-0.42353117399233,-0.154588886810271,0.133398292500021
931,-0.182787477506599,-0.40150265545506,-0.147772197758988,0.111963806867108
932,-0.142467347961574,-0.358521920115451,-0.192346213436026,0.0476661838878558
933,-0.125042421683394,-0.353609979641231,-0.240302244489762,-0.011618507275454
934,-0.157874102044897,-0.37539100819887,-0.207989485141505,0.0127764100218771
935,-0.0766814350035563,-0.340179907478812,-0.293480484587459,-0.0454814207969995
936,-0.162956893550817,-0.356705021453085,-0.187628006628497,0.0164208053572844
937,-0.117744933640253,-0.452012821375433,-0.0698159336399655,0.100536076453084
938,-0.0555310940275143,-0.429230508393919,-0.102478602147303,0.0756912262049241
939,-0.0130062782522256,-0.361225375589891,-0.122310206977077,0.0457607341032932
940,-0.0839221910096724,-0.342189959762557,-0.104269904473156,0.129047803089509
941,0.124151757635522,-0.426501731075856,-0.230950855948833,0.12539450237558
1020,-0.0519661808122774,-0.349788482576669,-0.284383841919607,0.077016006052647
1021,-0.0356873839793871,-0.224846383838771,-0.221095594890158,0.0639576139494382
1022,-0.088372740002407,-0.362593757015065,-0.219513906100888,0.066685882547944
1023,-0.127352595288154,-0.412938027943591,-0.180084286821513,0.03924353095623
